model,supervise_nodes,batch_size,max_epochs,eval_every,patience,trainable_embeddings,word_embeddings,test_loss_mean,test_loss_std,test_accuracy_mean,test_accuracy_std,test_weighted_f1_mean,test_weighted_f1_std,test_macro_f1_mean,test_macro_f1_std,bin_0_1-5_loss_mean,bin_0_1-5_loss_std,bin_0_1-5_accuracy_mean,bin_0_1-5_accuracy_std,bin_0_1-5_weighted_f1_mean,bin_0_1-5_weighted_f1_std,bin_0_1-5_macro_f1_mean,bin_0_1-5_macro_f1_std,bin_11_56-60_loss_mean,bin_11_56-60_loss_std,bin_11_56-60_accuracy_mean,bin_11_56-60_accuracy_std,bin_11_56-60_weighted_f1_mean,bin_11_56-60_weighted_f1_std,bin_11_56-60_macro_f1_mean,bin_11_56-60_macro_f1_std,bin_1_6-10_loss_mean,bin_1_6-10_loss_std,bin_1_6-10_accuracy_mean,bin_1_6-10_accuracy_std,bin_1_6-10_weighted_f1_mean,bin_1_6-10_weighted_f1_std,bin_1_6-10_macro_f1_mean,bin_1_6-10_macro_f1_std,bin_2_11-15_loss_mean,bin_2_11-15_loss_std,bin_2_11-15_accuracy_mean,bin_2_11-15_accuracy_std,bin_2_11-15_weighted_f1_mean,bin_2_11-15_weighted_f1_std,bin_2_11-15_macro_f1_mean,bin_2_11-15_macro_f1_std,bin_3_16-20_loss_mean,bin_3_16-20_loss_std,bin_3_16-20_accuracy_mean,bin_3_16-20_accuracy_std,bin_3_16-20_weighted_f1_mean,bin_3_16-20_weighted_f1_std,bin_3_16-20_macro_f1_mean,bin_3_16-20_macro_f1_std,bin_4_21-25_loss_mean,bin_4_21-25_loss_std,bin_4_21-25_accuracy_mean,bin_4_21-25_accuracy_std,bin_4_21-25_weighted_f1_mean,bin_4_21-25_weighted_f1_std,bin_4_21-25_macro_f1_mean,bin_4_21-25_macro_f1_std,bin_5_26-30_loss_mean,bin_5_26-30_loss_std,bin_5_26-30_accuracy_mean,bin_5_26-30_accuracy_std,bin_5_26-30_weighted_f1_mean,bin_5_26-30_weighted_f1_std,bin_5_26-30_macro_f1_mean,bin_5_26-30_macro_f1_std,bin_6_31-35_loss_mean,bin_6_31-35_loss_std,bin_6_31-35_accuracy_mean,bin_6_31-35_accuracy_std,bin_6_31-35_weighted_f1_mean,bin_6_31-35_weighted_f1_std,bin_6_31-35_macro_f1_mean,bin_6_31-35_macro_f1_std,bin_7_36-40_loss_mean,bin_7_36-40_loss_std,bin_7_36-40_accuracy_mean,bin_7_36-40_accuracy_std,bin_7_36-40_weighted_f1_mean,bin_7_36-40_weighted_f1_std,bin_7_36-40_macro_f1_mean,bin_7_36-40_macro_f1_std,bin_8_41-45_loss_mean,bin_8_41-45_loss_std,bin_8_41-45_accuracy_mean,bin_8_41-45_accuracy_std,bin_8_41-45_weighted_f1_mean,bin_8_41-45_weighted_f1_std,bin_8_41-45_macro_f1_mean,bin_8_41-45_macro_f1_std,bin_9_46-50_loss_mean,bin_9_46-50_loss_std,bin_9_46-50_accuracy_mean,bin_9_46-50_accuracy_std,bin_9_46-50_weighted_f1_mean,bin_9_46-50_weighted_f1_std,bin_9_46-50_macro_f1_mean,bin_9_46-50_macro_f1_std,model_file
TreeLSTM,True,512,50,1,5,True,word2vec,0.25824,0.01505,0.46335,0.00242,0.45497,0.0023,0.43768,0.00664,0.96506,0.01632,0.58796,0.02361,0.5707,0.01036,0.52737,0.00285,1.63152,0.48328,0.0,0.0,0.0,0.0,0.0,0.0,1.20343,0.05597,0.52778,0.00818,0.52792,0.00836,0.51627,0.01033,1.28326,0.07829,0.44805,0.01836,0.43691,0.01299,0.41644,0.01109,1.22634,0.05886,0.48695,0.0116,0.47126,0.01123,0.45054,0.00766,1.37919,0.07681,0.41833,0.01359,0.39893,0.01957,0.38375,0.0265,1.40636,0.11355,0.4303,0.00171,0.41558,0.0049,0.37553,0.0076,1.38851,0.04817,0.40363,0.03528,0.37806,0.04143,0.35666,0.04504,1.33039,0.04746,0.47556,0.02266,0.45362,0.01123,0.44148,0.02228,1.33596,0.0475,0.42308,0.0314,0.37007,0.03362,0.37066,0.00908,1.37578,0.18982,0.44444,0.07857,0.45185,0.08381,0.3037,0.07333,TreeLSTM_word2vec_True_True.json
PTDeepCBOW,False,128,100,1,10,False,word2vec,0.07017,0.00052,0.45113,0.00472,0.42268,0.00036,0.39676,0.00324,1.21298,0.01993,0.43519,0.04583,0.40482,0.06168,0.42728,0.04492,1.74245,0.17127,0.0,0.0,0.0,0.0,0.0,0.0,0.39823,0.00192,0.5037,0.00346,0.4918,0.00575,0.46023,0.01023,0.2953,0.00257,0.468,0.00311,0.43826,0.00341,0.4121,0.00459,0.30246,0.00259,0.48098,0.00796,0.44948,0.01251,0.42244,0.01888,0.35959,0.00779,0.38583,0.00624,0.35272,0.00328,0.33345,0.00492,0.45943,0.00765,0.43152,0.01371,0.40034,0.01157,0.34947,0.01193,0.63877,0.01417,0.43084,0.0274,0.38163,0.0225,0.34711,0.02313,1.27574,0.01694,0.41778,0.044,0.3773,0.04153,0.33584,0.03811,1.23923,0.02949,0.41026,0.03626,0.28099,0.04163,0.26359,0.05943,1.22934,0.08335,0.55556,0.07857,0.55899,0.06772,0.38783,0.04564,PTDeepCBOW_word2vec_False_False.json
ChildSumTreeLSTM,False,512,50,1,5,True,glove,0.25449,0.00446,0.44902,0.00468,0.42741,0.01868,0.3976,0.02855,1.23985,0.02757,0.38889,0.04089,0.36292,0.05274,0.3257,0.03545,2.28972,1.09161,0.0,0.0,0.0,0.0,0.0,0.0,1.15958,0.01909,0.5,0.02616,0.47053,0.04522,0.42925,0.05508,1.23398,0.01514,0.44888,0.00888,0.42574,0.00571,0.39991,0.01168,1.20565,0.02289,0.47204,0.00837,0.45411,0.02201,0.42802,0.03707,1.37348,0.04514,0.39667,0.00717,0.36724,0.00819,0.34065,0.01548,1.37154,0.0551,0.44242,0.01339,0.42825,0.01981,0.38472,0.03133,1.31754,0.06996,0.43084,0.01697,0.40489,0.01197,0.37112,0.01747,1.33608,0.02052,0.45333,0.0288,0.43804,0.03766,0.40843,0.05055,1.29681,0.08101,0.47436,0.03626,0.46667,0.03344,0.46031,0.03797,1.04658,0.07496,0.55556,0.07857,0.57381,0.07718,0.34272,0.03756,ChildSumTreeLSTM_glove_True_False.json
ChildSumTreeLSTM,False,512,50,1,5,True,word2vec,0.2604,0.0028,0.42308,0.00677,0.38372,0.00614,0.33611,0.00609,1.30743,0.00444,0.36111,0.04536,0.29209,0.082,0.26573,0.06105,2.82451,0.50328,0.0,0.0,0.0,0.0,0.0,0.0,1.21537,0.00399,0.45556,0.01179,0.40265,0.02252,0.34733,0.02452,1.25043,0.01466,0.43308,0.0047,0.38301,0.00684,0.34199,0.00717,1.2267,0.01239,0.46383,0.01243,0.42971,0.00957,0.37106,0.00881,1.4319,0.02626,0.355,0.00354,0.31469,0.00791,0.27915,0.00947,1.37337,0.03496,0.4303,0.01688,0.40576,0.01435,0.34437,0.01313,1.32396,0.03606,0.39002,0.02312,0.34905,0.02099,0.29823,0.02262,1.41486,0.04189,0.41778,0.00629,0.39471,0.00882,0.35647,0.01025,1.33578,0.03178,0.47436,0.01813,0.42833,0.02802,0.41144,0.04697,1.03579,0.04601,0.44444,0.07857,0.51111,0.09601,0.4,0.14402,ChildSumTreeLSTM_word2vec_True_False.json
LSTM,False,128,100,1,10,True,word2vec,0.07309,0.00088,0.41991,0.00296,0.35445,0.01899,0.3027,0.0243,1.3654,0.0513,0.3287,0.06246,0.24465,0.09406,0.23064,0.06759,2.20914,0.19128,0.0,0.0,0.0,0.0,0.0,0.0,0.42738,0.01082,0.41389,0.00393,0.33099,0.03109,0.26996,0.03932,0.31385,0.00346,0.42893,0.00611,0.34782,0.02907,0.30114,0.0348,0.31107,0.00187,0.47054,0.00211,0.40847,0.01759,0.34484,0.02048,0.37711,0.02106,0.37083,0.00773,0.30749,0.01099,0.26932,0.01467,0.49091,0.03969,0.43758,0.02306,0.38525,0.01589,0.31733,0.02095,0.67553,0.02876,0.40136,0.02003,0.3401,0.00439,0.29712,0.01398,1.39773,0.06495,0.43111,0.01257,0.36981,0.01981,0.31182,0.02307,1.3988,0.05955,0.42308,0.0314,0.35167,0.03166,0.32576,0.02482,1.7019,0.40742,0.33333,0.0,0.34074,0.02619,0.28148,0.05238,LSTM_word2vec_True_False.json
TreeLSTM,True,512,50,1,5,False,word2vec,0.24213,0.00826,0.48567,0.00918,0.47712,0.00976,0.45975,0.01316,0.88626,0.01742,0.64352,0.04293,0.62749,0.0393,0.58402,0.0465,1.80364,0.27012,0.0,0.0,0.0,0.0,0.0,0.0,1.12646,0.02158,0.53148,0.01309,0.53156,0.01435,0.51433,0.01522,1.27927,0.03389,0.45137,0.00539,0.43656,0.00546,0.41573,0.00703,1.14969,0.01996,0.52125,0.01561,0.50361,0.01414,0.48348,0.01755,1.32181,0.06614,0.43667,0.01328,0.41836,0.01527,0.40316,0.01923,1.2849,0.0625,0.46545,0.01071,0.45161,0.00985,0.40904,0.00078,1.24762,0.06627,0.46032,0.01156,0.44334,0.00548,0.43629,0.00737,1.32841,0.11847,0.48,0.01886,0.45017,0.01668,0.43959,0.02084,1.3272,0.07733,0.5,0.0314,0.44971,0.04695,0.43086,0.06771,1.53481,0.21977,0.38889,0.20787,0.35159,0.24044,0.24413,0.15519,TreeLSTM_word2vec_False_True.json
LSTM,True,128,100,1,10,False,glove,0.06526,0.001,0.4917,0.01282,0.48241,0.01704,0.46464,0.01952,0.89522,0.0322,0.61574,0.02619,0.60816,0.02761,0.57478,0.03227,3.07413,1.35301,0.0,0.0,0.0,0.0,0.0,0.0,0.35525,0.01183,0.55741,0.02744,0.55742,0.02939,0.5397,0.03023,0.27155,0.00578,0.48213,0.01646,0.46687,0.02005,0.44742,0.0227,0.27954,0.00298,0.50634,0.01554,0.49188,0.02128,0.47081,0.02492,0.35418,0.01887,0.445,0.0089,0.42258,0.01412,0.40409,0.01598,0.43499,0.00399,0.44606,0.01043,0.43623,0.0148,0.40339,0.01582,0.58252,0.02566,0.47619,0.03469,0.45574,0.04846,0.43311,0.05594,1.25015,0.08072,0.47111,0.03326,0.44116,0.01933,0.40893,0.02133,1.28249,0.14515,0.48718,0.04797,0.42635,0.03934,0.43275,0.03008,1.63792,0.1131,0.55556,0.07857,0.57381,0.07718,0.38505,0.09072,LSTM_glove_False_True.json
PTDeepCBOW,False,128,100,1,10,False,glove,0.06916,0.00019,0.4543,0.00133,0.4328,0.00291,0.41319,0.00461,1.18855,0.01181,0.45833,0.04089,0.45142,0.04479,0.47446,0.04418,1.11168,0.23993,0.66667,0.4714,0.66667,0.4714,0.66667,0.4714,0.38919,0.00424,0.51481,0.01702,0.51255,0.01863,0.49298,0.01978,0.29151,0.00278,0.43724,0.00715,0.41524,0.00569,0.39407,0.00588,0.29603,0.00081,0.50485,0.0046,0.47786,0.0068,0.4612,0.00641,0.34785,0.00062,0.41333,0.01161,0.38116,0.01623,0.36337,0.02046,0.45059,0.00739,0.42424,0.01635,0.39591,0.01024,0.34976,0.00384,0.62358,0.00591,0.41497,0.01666,0.36162,0.01624,0.32935,0.02007,1.31454,0.00874,0.39111,0.01257,0.35187,0.00194,0.32003,0.01296,1.29551,0.0108,0.33333,0.01813,0.23825,0.01766,0.24314,0.03819,1.16367,0.03474,0.5,0.0,0.51111,0.0,0.35556,0.0,PTDeepCBOW_glove_False_False.json
ChildSumTreeLSTM,True,512,50,1,5,False,word2vec,0.24413,0.00362,0.46275,0.00385,0.45127,0.00478,0.43248,0.00755,0.99989,0.01413,0.59259,0.01309,0.55266,0.01864,0.5133,0.02661,1.95911,0.5632,0.0,0.0,0.0,0.0,0.0,0.0,1.14246,0.02133,0.50278,0.00989,0.50383,0.01271,0.49253,0.01352,1.30039,0.01437,0.44057,0.01045,0.41958,0.01526,0.3957,0.01861,1.1856,0.01728,0.49515,0.00919,0.47835,0.00998,0.45771,0.0125,1.31222,0.04127,0.41917,0.01196,0.39424,0.01109,0.37367,0.01095,1.2715,0.05607,0.42182,0.01806,0.39937,0.0156,0.3481,0.01987,1.19394,0.01228,0.46032,0.03901,0.45124,0.04433,0.43968,0.0522,1.30542,0.07891,0.46222,0.044,0.43633,0.04269,0.42751,0.04362,1.28801,0.02108,0.47436,0.04797,0.42461,0.08098,0.42428,0.10748,1.69255,0.23147,0.44444,0.07857,0.45741,0.07595,0.31204,0.06154,ChildSumTreeLSTM_word2vec_False_True.json
ChildSumTreeLSTM,True,512,50,1,5,False,glove,0.23398,0.00188,0.48839,0.00405,0.47504,0.00416,0.46153,0.00629,0.9553,0.00481,0.55556,0.03,0.55102,0.02724,0.52293,0.02451,2.03276,0.51325,0.0,0.0,0.0,0.0,0.0,0.0,1.04591,0.01303,0.56759,0.00524,0.56617,0.00546,0.54878,0.00536,1.1628,0.01805,0.47797,0.00918,0.45782,0.0099,0.43816,0.01158,1.14621,0.00955,0.48919,0.01802,0.4697,0.01784,0.45613,0.0153,1.26184,0.01562,0.44167,0.00312,0.41379,0.00445,0.39948,0.01099,1.2341,0.02835,0.47273,0.02357,0.45889,0.02721,0.42802,0.03068,1.22801,0.03308,0.44671,0.03614,0.41485,0.03768,0.40279,0.04237,1.24649,0.03251,0.50222,0.00629,0.44873,0.00567,0.42938,0.00345,1.28797,0.06679,0.44872,0.04797,0.40326,0.05219,0.4402,0.04162,1.30563,0.20395,0.5,0.0,0.51667,0.00786,0.33426,0.03012,ChildSumTreeLSTM_glove_False_True.json
